"Date","Price","Open","High","Low","Change %"
"Dec 19","4.0190","4.2362","4.2541","4.0083","-5.13%"
"Nov 19","4.2364","4.0173","4.2778","3.9692","5.45%"
"Oct 19","4.0174","4.1564","4.1873","3.9637","-3.31%"
"Sep 19","4.1551","4.1440","4.1948","4.0265","0.26%"
"Aug 19","4.1445","3.8154","4.1949","3.8107","8.71%"
"Jul 19","3.8125","3.8373","3.8812","3.7178","-1.02%"
"Jun 19","3.8518","3.9232","3.9344","3.8066","-1.78%"
"May 19","3.9218","3.9196","4.1221","3.9086","0.03%"
"Apr 19","3.9207","3.8897","4.0065","3.8147","-0.08%"
"Mar 19","3.9238","3.7510","4.0160","3.7381","4.60%"
"Feb 19","3.7511","3.6455","3.7956","3.6385","2.94%"
"Jan 19","3.6439","3.8793","3.8976","3.6363","-6.09%"
"Dec 18","3.8804","3.8669","3.9461","3.8149","0.37%"
"Nov 18","3.8662","3.7222","3.9448","3.6792","3.88%"
"Oct 18","3.7218","4.0496","4.0637","3.5817","-8.05%"
"Sep 18","4.0477","4.0921","4.2109","3.9669","-0.17%"
"Aug 18","4.0545","3.7566","4.2151","3.6902","7.96%"
"Jul 18","3.7557","3.8781","3.9533","3.6879","-3.12%"
"Jun 18","3.8765","3.7248","3.9678","3.6677","4.14%"
"May 18","3.7225","3.5075","3.7768","3.5072","6.16%"
"Apr 18","3.5066","3.3045","3.5159","3.2954","6.11%"
"Mar 18","3.3046","3.2462","3.3466","3.2057","1.81%"
"Feb 18","3.2458","3.1853","3.3189","3.1617","1.88%"
"Jan 18","3.1858","3.3135","3.3135","3.1198","-3.81%"
"Dec 17","3.3121","3.2727","3.3482","3.2199","1.21%"
"Nov 17","3.2726","3.2727","3.3354","3.2005","0.01%"
"Oct 17","3.2724","3.1641","3.3031","3.1221","3.51%"
"Sep 17","3.1614","3.1472","3.2004","3.0789","0.44%"
"Aug 17","3.1474","3.1270","3.2208","3.1074","0.69%"
"Jul 17","3.1259","3.3190","3.3310","3.1102","-5.46%"
"Jun 17","3.3063","3.2266","3.3498","3.2146","2.48%"
"May 17","3.2262","3.1748","3.4246","3.0873","1.59%"
"Apr 17","3.1758","3.1233","3.2146","3.0800","1.69%"
"Mar 17","3.1230","3.1095","3.1985","3.0596","0.46%"
"Feb 17","3.1086","3.1515","3.1634","3.0387","-1.34%"
"Jan 17","3.1507","3.2547","3.2926","3.1016","-3.15%"
"Dec 16","3.2532","3.3854","3.4927","3.2408","-3.83%"
"Nov 16","3.3827","3.1891","3.5080","3.1621","6.11%"
"Oct 16","3.1878","3.2631","3.2640","3.1017","-2.18%"
"Sep 16","3.2589","3.2262","3.3678","3.1649","1.00%"
"Aug 16","3.2266","3.2496","3.2927","3.1127","-0.63%"
"Jul 16","3.2471","3.2137","3.3712","3.1960","1.07%"
"Jun 16","3.2126","3.6095","3.6360","3.1824","-11.02%"
"May 16","3.6105","3.4364","3.6762","3.4337","5.10%"
"Apr 16","3.4352","3.5910","3.7191","3.4288","-4.38%"
"Mar 16","3.5925","4.0172","4.0225","3.5318","-10.54%"
"Feb 16","4.0156","3.9992","4.0785","3.8444","0.46%"
"Jan 16","3.9973","3.9608","4.1731","3.9590","0.96%"
"Dec 15","3.9593","3.8687","4.0419","3.7157","2.37%"
"Nov 15","3.8675","3.8562","3.9232","3.6929","0.29%"
"Oct 15","3.8562","3.9509","4.0458","3.7232","-2.32%"
"Sep 15","3.9478","3.6188","4.2487","3.6186","9.09%"
"Aug 15","3.6187","3.4227","3.6839","3.4206","5.80%"
"Jul 15","3.4204","3.1031","3.4350","3.0928","10.26%"
"Jun 15","3.1020","3.1795","3.2143","3.0296","-2.42%"
"May 15","3.1788","3.0152","3.1965","2.9702","5.47%"
"Apr 15","3.0140","3.1951","3.1951","2.8816","-5.66%"
"Mar 15","3.1947","2.8390","3.3163","2.8390","12.57%"
"Feb 15","2.8380","2.6824","2.9207","2.6658","5.84%"
"Jan 15","2.6814","2.6575","2.7310","2.5494","0.92%"
"Dec 14","2.6570","2.5659","2.7607","2.5436","3.58%"
"Nov 14","2.5651","2.4783","2.6295","2.4536","3.52%"
"Oct 14","2.4779","2.4444","2.5603","2.3561","1.35%"
"Sep 14","2.4449","2.2362","2.4785","2.2253","9.37%"
"Aug 14","2.2355","2.2635","2.3077","2.2329","-1.23%"
"Jul 14","2.2634","2.2146","2.2750","2.1988","2.25%"
"Jun 14","2.2137","2.2415","2.2918","2.1869","-1.19%"
"May 14","2.2403","2.2338","2.2494","2.1995","0.37%"
"Apr 14","2.2320","2.2721","2.2889","2.1814","-1.73%"
"Mar 14","2.2714","2.3384","2.3765","2.2478","-2.85%"
"Feb 14","2.3381","2.4127","2.4406","2.3182","-3.07%"
"Jan 14","2.4122","2.3781","2.4508","2.3276","2.13%"
"Dec 13","2.3618","2.3363","2.3960","2.3044","1.13%"
"Nov 13","2.3355","2.2350","2.3489","2.2350","4.31%"
"Oct 13","2.2390","2.2163","2.2413","2.1467","1.06%"
"Sep 13","2.2156","2.3826","2.4042","2.1793","-7.14%"
"Aug 13","2.3859","2.2764","2.4553","2.2627","4.81%"
"Jul 13","2.2764","2.2290","2.3031","2.2067","2.01%"
"Jun 13","2.2315","2.1439","2.2777","2.0840","4.19%"
"May 13","2.1418","2.0015","2.1512","1.9945","7.04%"
"Apr 13","2.0010","2.0186","2.0300","1.9633","-1.11%"
"Mar 13","2.0235","1.9760","2.0275","1.9414","2.22%"
"Feb 13","1.9795","1.9908","1.9974","1.9493","-0.54%"
"Jan 13","1.9902","2.0333","2.0508","1.9813","-2.80%"
"Dec 12","2.0475","2.1361","2.1388","2.0387","-4.10%"
"Nov 12","2.1350","2.0310","2.1373","2.0296","5.14%"
"Oct 12","2.0306","2.0289","2.0445","2.0157","0.25%"
"Sep 12","2.0255","2.0304","2.0454","2.0066","-0.12%"
"Aug 12","2.0280","2.0568","2.0570","2.0056","-1.38%"
"Jul 12","2.0563","2.0062","2.0570","1.9779","2.34%"
"Jun 12","2.0092","2.0226","2.0995","2.0045","-0.64%"
"May 12","2.0221","1.9044","2.1065","1.9044","5.98%"
"Apr 12","1.9080","1.8511","1.9118","1.8158","4.51%"
"Mar 12","1.8257","1.7167","1.8374","1.7095","6.35%"
"Feb 12","1.7167","1.7490","1.7494","1.6870","-1.70%"
"Jan 12","1.7463","1.8656","1.8751","1.7316","-6.25%"
